doc_id	lo	hi	n_lines	mx	es	other
1	909500	910174	675	14	2	0
2	1365550	1365874	325	5	1	0
3	2884175	2885449	1275	53	9	0
4	2910875	2911999	1125	18	5	0
5	3266450	3267124	675	20	1	0
6	3355225	3355999	775	13	2	0
7	3578075	3578624	550	14	5	0
8	4521375	4521874	500	35	1	0
9	4771500	4771999	500	16	3	0
10	5581175	5581874	700	25	2	0
11	6944375	6944999	625	14	1	0
12	7261750	7262449	700	16	1	0
13	8782600	8783374	775	36	0	0
14	9486250	9487524	1275	44	2	1
15	10355850	10356874	1025	40	4	0
16	11283950	11285199	1250	57	9	0
17	11553425	11554299	875	25	5	0
18	11622800	11623649	850	22	0	1
19	12097125	12097574	450	12	0	0
20	12557325	12557949	625	11	2	0
21	13142125	13142699	575	19	1	0
22	15162500	15163574	1075	31	1	0
23	15901250	15901874	625	13	0	0
24	16120175	16121199	1025	19	3	0
25	16361250	16361949	700	42	3	0
26	16403875	16405074	1200	54	8	0
27	16719175	16720124	950	34	5	0
28	16987750	16990874	3125	103	17	1
29	17795375	17795524	150	7	0	0
30	17810500	17810999	500	16	2	0
31	20943000	20943499	500	16	3	0
32	21074175	21074749	575	11	2	0
33	22716250	22717074	825	51	10	0
34	23343925	23344299	375	15	0	0
35	23654450	23654999	550	13	1	0
36	23728725	23730124	1400	231	54	0
37	25013000	25013324	325	18	1	0
38	25263750	25264374	625	14	5	0
39	25290425	25291174	750	18	4	0
40	26164300	26164999	700	18	5	0
41	26202550	26203124	575	20	3	106
42	26626450	26626899	450	7	1	0
43	26692500	26693049	550	18	2	0
44	28071175	28071749	575	37	3	0
45	29298550	29299249	700	42	3	0
46	29932425	29933024	600	39	9	0
47	31592225	31592499	275	8	1	0
48	32129000	32129449	450	28	3	0
49	32896000	32896624	625	11	2	0
50	33422250	33422824	575	27	1	0
51	33856375	33856999	625	18	1	0
52	34457475	34458124	650	28	3	0
53	34560200	34561074	875	27	3	0
54	34563500	34563649	150	8	2	0
55	35770250	35771124	875	24	3	0
56	38006375	38006874	500	13	1	0
57	38028225	38030449	2225	279	23	31
58	38439125	38439749	625	35	6	0
59	38603875	38604999	1125	21	5	0
60	38655300	38655874	575	22	2	0
61	38977800	38978574	775	37	0	0
62	39308575	39309249	675	30	3	1
63	39450200	39451049	850	19	2	0
64	39715125	39715449	325	13	1	0
65	40965750	40966649	900	61	10	0
66	41539750	41540824	1075	24	5	0
67	41602825	41603999	1175	38	3	2
68	42104925	42105874	950	43	8	0
69	42138550	42138949	400	10	0	0
70	42641075	42641549	475	15	3	0
71	43101325	43101774	450	24	1	0
72	43309750	43310074	325	9	1	0
73	44752875	44753874	1000	23	1	1
74	45465625	45465949	325	21	6	0
76	47530550	47531424	875	63	6	0
77	48109850	48111124	1275	90	6	0
78	48667625	48668449	825	17	4	0
79	49443075	49443499	425	10	1	0
80	51424000	51424749	750	52	7	0
81	53267450	53267949	500	28	9	0
82	53336150	53336924	775	14	1	0
83	53539825	53540824	1000	182	3	0
84	54104550	54104799	250	6	0	0
85	55959825	55960749	925	21	7	8
86	57519050	57519324	275	13	0	0
87	59878125	59878999	875	48	4	0
88	62519950	62520674	725	64	7	0
89	62966375	62966949	575	46	3	3
90	63518425	63519074	650	19	0	0
91	65932125	65932749	625	51	2	10
92	66175675	66176449	775	86	6	0
93	66206125	66206649	525	58	8	2
